Country,Molluscs,Other_Invertebrates,Plants,Fungi_Protists,Total,Continent,Region,species_type,thr_count
Madagascar,35,159,1111,0,1858,Africa,Sub-Saharan Africa,Amphibians,145
Malawi,7,7,34,0,122,Africa,Sub-Saharan Africa,Amphibians,5
Mali,0,0,12,0,49,Africa,Sub-Saharan Africa,Amphibians,0
Mauritania,2,1,0,0,91,Africa,Sub-Saharan Africa,Amphibians,0
Mauritius,29,91,91,0,262,Africa,Sub-Saharan Africa,Amphibians,0
Mayotte,0,70,3,0,93,Africa,Sub-Saharan Africa,Amphibians,0
Mozambique,0,64,145,0,347,Africa,Sub-Saharan Africa,Amphibians,5
Namibia,2,2,27,0,117,Africa,Sub-Saharan Africa,Amphibians,0
Niger,1,0,4,0,38,Africa,Sub-Saharan Africa,Amphibians,0
Nigeria,3,10,205,0,368,Africa,Sub-Saharan Africa,Amphibians,11
R_union,17,72,18,0,132,Africa,Sub-Saharan Africa,Amphibians,0
Rwanda,0,4,41,0,98,Africa,Sub-Saharan Africa,Amphibians,2
"Saint Helena, Ascension and Tristan da Cunha",1,67,44,1,153,Africa,Sub-Saharan Africa,Amphibians,0
Sao Tome and Principe,3,1,49,0,102,Africa,Sub-Saharan Africa,Amphibians,3
Senegal,12,1,14,0,132,Africa,Sub-Saharan Africa,Amphibians,0
Seychelles,37,283,61,0,441,Africa,SSub-Saharan Africa,Amphibians,6
Sierra Leone,5,3,72,0,187,Africa,Sub-Saharan Africa,Amphibians,3
Somalia,2,60,49,0,185,Africa,Sub-Saharan Africa,Amphibians,0
South Africa,22,186,153,0,602,Africa,Sub-Saharan Africa,Amphibians,16
South Sudan,0,1,17,0,57,Africa,Sub-Saharan Africa,Amphibians,0
Sudan,0,50,17,0,147,Africa,Sub-Saharan Africa,Amphibians,0
"Tanzania, United Republic of",11,136,644,0,1155,Africa,Sub-Saharan Africa,Amphibians,61
Togo,2,1,13,0,88,Africa,Sub-Saharan Africa,Amphibians,2
Uganda,14,16,64,0,221,Africa,Sub-Saharan Africa,Amphibians,2
Zambia,12,2,23,0,92,Africa,Sub-Saharan Africa,Amphibians,0
Zimbabwe,0,7,52,0,102,Africa,Sub-Saharan Africa,Amphibians,7
Antarctica,0,0,0,0,6,Antarctica,Antarctica,Amphibians,0
Bouvet Island,0,0,0,0,3,Antarctica,Antarctica,Amphibians,0
French Southern Territories,0,0,1,0,28,Antarctica,Antarctica,Amphibians,0
Heard Island and McDonald Islands,0,0,0,0,12,Antarctica,Antarctica,Amphibians,0
South Georgia and the South Sandwich Islands,0,0,0,0,9,Antarctica,Antarctica,Amphibians,0
China,15,61,593,1,1105,Asia,East Asia,Amphibians,87
Hong Kong,1,7,10,0,68,Asia,East Asia,Amphibians,5
Japan,33,142,50,4,429,Asia,East Asia,Amphibians,20
"Korea, Democratic People's Republic of",0,3,17,0,82,Asia,East Asia,Amphibians,1
"Korea, Republic of",0,8,31,1,119,Asia,East Asia,Amphibians,3
Macao,0,1,0,0,15,Asia,East Asia,Amphibians,0
Mongolia,0,3,0,0,40,Asia,East Asia,Amphibians,0
"Taiwan, Province of China",1,127,85,1,342,Asia,East Asia,Amphibians,10
Belarus,3,7,1,0,26,Asia,North Asia,Amphibians,0
Moldova,2,4,2,0,33,Asia,North Asia,Amphibians,0
Russian Federation,8,31,56,5,239,Asia,North Asia,Amphibians,0
Ukraine,9,29,22,1,114,Asia,North Asia,Amphibians,0
Bangladesh,0,7,23,0,156,Asia,South & Southeast Asia,Amphibians,1
Bhutan,0,1,43,0,97,Asia,South & Southeast Asia,Amphibians,1
British Indian Ocean Territory,0,69,1,0,86,Asia,South & Southeast Asia,Amphibians,0
Brunei Darussalam,0,9,127,0,224,Asia,South & Southeast Asia,Amphibians,2
Cambodia,1,78,37,0,264,Asia,South & Southeast Asia,Amphibians,9
Disputed Territory,0,1,0,0,8,Asia,South & Southeast Asia,Amphibians,0
India,7,128,396,0,1073,Asia,South & Southeast Asia,Amphibians,75
Indonesia,6,285,458,0,1332,Asia,South & Southeast Asia,Amphibians,29
Lao People's Democratic Republic,16,5,56,0,239,Asia,South & Southeast Asia,Amphibians,6
Malaysia,37,228,727,1,1301,Asia,South & Southeast Asia,Amphibians,31
Maldives,0,46,0,0,75,Asia,South & Southeast Asia,Amphibians,0
Myanmar,3,74,61,0,331,Asia,South & Southeast Asia,Amphibians,3
Nepal,1,2,18,0,107,Asia,South & Southeast Asia,Amphibians,3
Philippines,3,235,254,0,780,Asia,South & Southeast Asia,Amphibians,27
Singapore,0,173,62,0,306,Asia,South & Southeast Asia,Amphibians,0
Sri Lanka,0,130,297,0,598,Asia,South & Southeast Asia,Amphibians,56
Thailand,15,196,159,0,641,Asia,South & Southeast Asia,Amphibians,7
Timor-Leste,0,1,2,0,29,Asia,South & Southeast Asia,Amphibians,0
Viet Nam,30,122,231,0,692,Asia,South & Southeast Asia,Amphibians,45
Afghanistan,0,2,5,0,40,Asia,West & Central Asia,Amphibians,1
Armenia,2,7,74,0,116,Asia,West & Central Asia,Amphibians,0
Azerbaijan,2,5,44,0,100,Asia,West & Central Asia,Amphibians,1
Bahrain,0,13,0,0,41,Asia,West & Central Asia,Amphibians,0
Cyprus,5,10,22,0,79,Asia,West & Central Asia,Amphibians,0
Georgia,4,11,63,1,121,Asia,West & Central Asia,Amphibians,1
"Iran, Islamic Republic of",2,22,7,0,143,Asia,West & Central Asia,Amphibians,4
Iraq,1,16,2,0,72,Asia,West & Central Asia,Amphibians,1
Israel,11,63,23,0,193,Asia,West & Central Asia,Amphibians,2
Jordan,6,55,8,0,122,Asia,West & Central Asia,Amphibians,0
Kazakhstan,2,5,14,0,80,Asia,West & Central Asia,Amphibians,1
Kuwait,0,13,0,0,53,Asia,West & Central Asia,Amphibians,0
Kyrgyzstan,0,4,13,0,43,Asia,West & Central Asia,Amphibians,0
Lebanon,9,9,24,0,99,Asia,West & Central Asia,Amphibians,0
Oman,2,29,6,0,104,Asia,West & Central Asia,Amphibians,0
Pakistan,0,18,12,0,146,Asia,West & Central Asia,Amphibians,0
"Palestine, State of",2,2,6,0,36,Asia,West & Central Asia,Amphibians,1
Qatar,0,13,0,0,46,Asia,West & Central Asia,Amphibians,0
Saudi Arabia,1,58,4,0,136,Asia,West & Central Asia,Amphibians,0
Syrian Arab Republic,9,13,26,0,139,Asia,West & Central Asia,Amphibians,0
Tajikistan,0,3,12,0,47,Asia,West & Central Asia,Amphibians,0
Turkey,45,40,113,2,401,Asia,West & Central Asia,Amphibians,10
Turkmenistan,1,6,4,0,59,Asia,West & Central Asia,Amphibians,0
United Arab Emirates,0,15,0,0,60,Asia,West & Central Asia,Amphibians,0
Uzbekistan,1,2,16,0,62,Asia,West & Central Asia,Amphibians,0
Yemen,2,66,163,0,306,Asia,West & Central Asia,Amphibians,1
Albania,50,21,4,0,137,Europe,Europe,Amphibians,2
Andorra,3,5,0,0,14,Europe,Europe,Amphibians,0
Austria,43,31,17,8,127,Europe,Europe,Amphibians,0
Belgium,6,9,0,1,39,Europe,Europe,Amphibians,0
Bosnia and Herzegovina,18,24,3,0,96,Europe,Europe,Amphibians,1
Bulgaria,32,25,9,0,115,Europe,Europe,Amphibians,0
Croatia,49,30,8,1,181,Europe,Europe,Amphibians,2
Czechia,6,23,26,5,74,Europe,Europe,Amphibians,0
Denmark,5,11,1,3,49,Europe,Europe,Amphibians,0
Estonia,4,3,0,2,24,Europe,Europe,Amphibians,0
Faroe Islands,0,0,0,1,24,Europe,Europe,Amphibians,0
Finland,3,7,2,6,37,Europe,Europe,Amphibians,0
France,92,68,47,8,300,Europe,Europe,Amphibians,2
Germany,31,30,36,7,144,Europe,Europe,Amphibians,0
Gibraltar,3,2,1,0,33,Europe,Europe,Amphibians,0
Greece,178,130,72,1,503,Europe,Europe,Amphibians,5
Greenland,0,0,1,0,25,Europe,Europe,Amphibians,0
Guernsey,0,0,0,0,6,Europe,Europe,Amphibians,0
Holy See (Vatican City State),0,0,0,0,1,Europe,Europe,Amphibians,0
Hungary,8,26,43,2,105,Europe,Europe,Amphibians,0
Iceland,0,0,0,0,29,Europe,Europe,Amphibians,0
Ireland,4,2,3,2,54,Europe,Europe,Amphibians,0
Isle of Man,0,0,0,0,2,Europe,Europe,Amphibians,0
Italy,83,139,102,9,423,Europe,Europe,Amphibians,9
Jersey,1,0,0,0,7,Europe,Europe,Amphibians,0
Latvia,4,8,0,1,31,Europe,Europe,Amphibians,0
Liechtenstein,2,4,0,0,8,Europe,Europe,Amphibians,0
Lithuania,3,5,1,1,28,Europe,Europe,Amphibians,0
Luxembourg,5,2,0,0,11,Europe,Europe,Amphibians,0
"Macedonia, the former Yugoslav Republic of",71,15,4,1,125,Europe,Europe,Amphibians,0
Malta,3,2,4,0,39,Europe,Europe,Amphibians,0
Monaco,1,2,1,0,22,Europe,Europe,Amphibians,0
Montenegro,22,20,3,0,101,Europe,Europe,Amphibians,1
Netherlands,5,6,1,3,43,Europe,Europe,Amphibians,0
Norway,3,7,10,11,73,Europe,Europe,Amphibians,0
Poland,7,21,11,3,65,Europe,Europe,Amphibians,0
Portugal,86,118,101,4,410,Europe,Europe,Amphibians,1
Romania,25,43,7,0,125,Europe,Europe,Amphibians,0
San Marino,1,0,0,0,1,Europe,Europe,Amphibians,0
Serbia,8,27,6,1,77,Europe,Europe,Amphibians,0
Slovakia,7,25,25,3,81,Europe,Europe,Amphibians,0
Slovenia,32,51,7,4,147,Europe,Europe,Amphibians,2
Spain,164,124,247,6,686,Europe,Europe,Amphibians,6
Svalbard and Jan Mayen,0,0,0,0,10,Europe,Europe,Amphibians,0
Sweden,4,12,5,10,58,Europe,Europe,Amphibians,0
Switzerland,10,37,4,6,79,Europe,Europe,Amphibians,1
United Kingdom,7,13,42,6,133,Europe,Europe,Amphibians,0
Belize,0,12,46,0,130,North America,Mesoamerica,Amphibians,3
Costa Rica,1,30,143,0,349,North America,Mesoamerica,Amphibians,61
El Salvador,0,10,33,0,92,North America,Mesoamerica,Amphibians,9
Guatemala,2,11,120,0,315,North America,Mesoamerica,Amphibians,77
Honduras,0,21,134,0,317,North America,Mesoamerica,Amphibians,55
Mexico,8,103,484,1,1261,North America,Mesoamerica,Amphibians,219
Nicaragua,2,18,50,0,153,North America,Mesoamerica,Amphibians,10
Panama,0,22,212,0,392,North America,Mesoamerica,Amphibians,49
Anguilla,0,10,4,0,56,North America,Caribbean Islands,Amphibians,0
Antigua and Barbuda,0,11,4,0,58,North America,Caribbean Islands,Amphibians,0
Aruba,1,1,2,0,34,North America,Caribbean Islands,Amphibians,0
Bahamas,1,11,7,0,88,North America,Caribbean Islands,Amphibians,0
Barbados,0,11,3,0,57,North America,Caribbean Islands,Amphibians,0
Bermuda,0,28,8,0,74,North America,Caribbean Islands,Amphibians,0
"Bonaire, Sint Eustatius and Saba",0,11,3,0,57,North America,Caribbean Islands,Amphibians,0
Cayman Islands,1,10,22,0,75,North America,Caribbean Islands,Amphibians,0
Cuba,0,23,179,0,348,North America,Caribbean Islands,Amphibians,49
Curacao,0,11,2,0,51,North America,Caribbean Islands,Amphibians,0
Dominica,0,11,12,0,69,North America,Caribbean Islands,Amphibians,2
Dominican Republic,0,16,47,0,195,North America,Caribbean Islands,Amphibians,32
Grenada,0,10,3,0,55,North America,Caribbean Islands,Amphibians,1
Guadeloupe,1,15,10,0,78,North America,Caribbean Islands,Amphibians,3
Haiti,0,14,93,0,261,North America,Caribbean Islands,Amphibians,49
Jamaica,0,15,215,0,318,North America,Caribbean Islands,Amphibians,15
Martinique,2,0,9,0,54,North America,Caribbean Islands,Amphibians,2
Montserrat,0,11,6,0,58,North America,Caribbean Islands,Amphibians,1
Puerto Rico,0,0,64,0,139,North America,Caribbean Islands,Amphibians,14
Saint Barth_lemy,0,11,2,0,38,North America,Caribbean Islands,Amphibians,0
Saint Kitts and Nevis,0,10,2,0,54,North America,Caribbean Islands,Amphibians,1
Saint Lucia,0,11,7,0,64,North America,Caribbean Islands,Amphibians,0
Saint Martin (French part),0,10,3,0,55,North America,Caribbean Islands,Amphibians,0
Saint Vincent and the Grenadines,0,10,6,0,60,North America,Caribbean Islands,Amphibians,1
Sint Maarten (Dutch part),0,10,3,0,55,North America,Caribbean Islands,Amphibians,0
Trinidad and Tobago,0,10,50,0,119,North America,Caribbean Islands,Amphibians,8
Turks and Caicos Islands,0,10,9,0,62,North America,Caribbean Islands,Amphibians,0
"Virgin Islands, British",0,10,20,0,81,North America,Caribbean Islands,Amphibians,2
"Virgin Islands, U.S.",0,0,17,0,66,North America,Caribbean Islands,Amphibians,2
Canada,17,20,18,7,155,North America,North America,Amphibians,1
Saint Pierre and Miquelon,0,0,0,0,16,North America,North America,Amphibians,0
United States,311,269,510,24,1589,North America,North America,Amphibians,56
Argentina,0,14,70,1,273,South America,South America,Amphibians,30
"Bolivia, Plurinational States of",2,1,106,0,239,South America,South America,Amphibians,35
Brazil,22,34,558,0,1027,South America,South America,Amphibians,35
Chile,1,12,73,0,221,South America,South America,Amphibians,29
Colombia,4,49,268,0,861,South America,South America,Amphibians,222
Ecuador,49,21,1859,7,2372,South America,South America,Amphibians,159
Falkland Islands (Malvinas),0,0,5,0,22,South America,South America,Amphibians,0
French Guiana,0,0,18,0,74,South America,South America,Amphibians,3
Guyana,0,1,30,0,106,South America,South America,Amphibians,9
Paraguay,0,0,20,0,64,South America,South America,Amphibians,0
Peru,4,4,328,0,721,South America,South America,Amphibians,138
Suriname,0,1,27,0,85,South America,South America,Amphibians,1
Uruguay,0,2,22,0,112,South America,South America,Amphibians,5
"Venezuela, Bolivarian Republic of",1,25,86,0,342,South America,South America,Amphibians,73
American Samoa,5,60,1,0,93,Oceania,Oceania,Amphibians,0
Australia,174,360,108,1,1005,Oceania,Oceania,Amphibians,47
Christmas Island,0,19,1,0,40,Oceania,Oceania,Amphibians,0
Cocos (Keeling) Islands,0,20,0,0,35,Oceania,Oceania,Amphibians,0
Cook Islands,0,32,11,0,74,Oceania,Oceania,Amphibians,0
Fiji,68,97,78,0,300,Oceania,Oceania,Amphibians,1
French Polynesia,31,31,48,0,176,Oceania,Oceania,Amphibians,0
Guam,6,54,5,0,101,Oceania,Oceania,Amphibians,0
Kiribati,1,80,0,0,105,Oceania,Oceania,Amphibians,0
Marshall Islands,1,72,0,0,100,Oceania,Oceania,Amphibians,0
"Micronesia, Federated States of",3,111,5,0,168,Oceania,Oceania,Amphibians,0
Nauru,0,68,0,0,83,Oceania,Oceania,Amphibians,0
New Caledonia,28,97,350,0,592,Oceania,Oceania,Amphibians,0
New Zealand,35,26,21,3,219,Oceania,Oceania,Amphibians,3
Niue,0,30,0,0,51,Oceania,Oceania,Amphibians,0
Norfolk Island,12,11,2,0,45,Oceania,Oceania,Amphibians,0
Northern Mariana Islands,4,53,6,0,101,Oceania,Oceania,Amphibians,0
Palau,40,106,5,0,185,Oceania,Oceania,Amphibians,0
Papua New Guinea,2,176,179,2,524,Oceania,Oceania,Amphibians,11
Pitcairn,5,11,7,0,42,Oceania,Oceania,Amphibians,0
Samoa,1,62,2,0,94,Oceania,Oceania,Amphibians,0
Solomon Islands,2,148,16,0,241,Oceania,Oceania,Amphibians,2
Tokelau,0,35,0,0,49,Oceania,Oceania,Amphibians,0
Tonga,4,43,5,0,80,Oceania,Oceania,Amphibians,0
Tuvalu,1,77,0,0,97,Oceania,Oceania,Amphibians,0
United States Minor Outlying Islands,0,47,0,0,70,Oceania,Oceania,Amphibians,0
Vanuatu,3,88,10,0,139,Oceania,Oceania,Amphibians,0
Wallis and Futuna,0,64,1,0,88,Oceania,Oceania,Amphibians,0
Algeria,11,29,22,0,143,Africa,North Africa,Fishes,41
Egypt,0,56,8,0,167,Africa,North Africa,Fishes,58
Libya,0,4,7,0,67,Africa,North Africa,Fishes,32
Morocco,37,32,52,2,228,Africa,North Africa,Fishes,54
Tunisia,7,13,9,0,100,Africa,North Africa,Fishes,39
Western Sahara,2,1,0,0,52,Africa,North Africa,Fishes,33
Angola,7,4,34,0,155,Africa,Sub-Saharan Africa,Fishes,53
Benin,2,1,20,0,95,Africa,Sub-Saharan Africa,Fishes,40
Botswana,0,0,3,0,33,Africa,Sub-Saharan Africa,Fishes,2
Burkina Faso,1,0,4,0,33,Africa,Sub-Saharan Africa,Fishes,4
Burundi,3,3,89,0,142,Africa,Sub-Saharan Africa,Fishes,17
Cabo Verde,13,0,51,0,116,Africa,Sub-Saharan Africa,Fishes,35
Cameroon,13,12,555,0,846,Africa,Sub-Saharan Africa,Fishes,122
Central African Republic,0,0,26,0,66,Africa,Sub-Saharan Africa,Fishes,3
Chad,4,0,6,0,48,Africa,Sub-Saharan Africa,Fishes,1
Comoros,0,76,9,0,120,Africa,Sub-Saharan Africa,Fishes,11
Congo,7,0,46,0,139,Africa,Sub-Saharan Africa,Fishes,57
"Congo, The Democratic Republic of the",44,10,148,0,390,Africa,Sub-Saharan Africa,Fishes,94
Cªte d'Ivoire,5,2,118,0,262,Africa,Sub-Saharan Africa,Fishes,59
Djibouti,1,56,3,0,107,Africa,Sub-Saharan Africa,Fishes,23
Equatorial Guinea,2,2,98,0,187,Africa,Sub-Saharan Africa,Fishes,44
Eritrea,1,57,6,0,136,Africa,Sub-Saharan Africa,Fishes,29
Eswatini,0,0,13,0,41,Africa,Sub-Saharan Africa,Fishes,5
Ethiopia,4,11,64,0,177,Africa,Sub-Saharan Africa,Fishes,14
Gabon,2,2,173,0,284,Africa,Sub-Saharan Africa,Fishes,72
Gambia,2,0,6,0,73,Africa,Sub-Saharan Africa,Fishes,35
Ghana,2,3,119,0,245,Africa,Sub-Saharan Africa,Fishes,58
Guinea,3,5,70,0,218,Africa,Sub-Saharan Africa,Fishes,76
Guinea-Bissau,2,0,6,0,83,Africa,Sub-Saharan Africa,Fishes,41
Kenya,20,71,243,0,505,Africa,Sub-Saharan Africa,Fishes,74
Lesotho,0,3,4,0,20,Africa,Sub-Saharan Africa,Fishes,1
Liberia,3,7,53,0,177,Africa,Sub-Saharan Africa,Fishes,64
Madagascar,35,159,1111,0,1858,Africa,Sub-Saharan Africa,Fishes,111
Malawi,7,7,34,0,122,Africa,Sub-Saharan Africa,Fishes,36
Mali,0,0,12,0,49,Africa,Sub-Saharan Africa,Fishes,2
Mauritania,2,1,0,0,91,Africa,Sub-Saharan Africa,Fishes,45
Mauritius,29,91,91,0,262,Africa,Sub-Saharan Africa,Fishes,21
Mayotte,0,70,3,0,93,Africa,Sub-Saharan Africa,Fishes,8
Mozambique,0,64,145,0,347,Africa,Sub-Saharan Africa,Fishes,72
Namibia,2,2,27,0,117,Africa,Sub-Saharan Africa,Fishes,33
Niger,1,0,4,0,38,Africa,Sub-Saharan Africa,Fishes,4
Nigeria,3,10,205,0,368,Africa,Sub-Saharan Africa,Fishes,74
R_union,17,72,18,0,132,Africa,Sub-Saharan Africa,Fishes,14
Rwanda,0,4,41,0,98,Africa,Sub-Saharan Africa,Fishes,7
"Saint Helena, Ascension and Tristan da Cunha",1,67,44,1,153,Africa,Sub-Saharan Africa,Fishes,14
Sao Tome and Principe,3,1,49,0,102,Africa,Sub-Saharan Africa,Fishes,25
Senegal,12,1,14,0,132,Africa,Sub-Saharan Africa,Fishes,58
Seychelles,37,283,61,0,441,Africa,SSub-Saharan Africa,Fishes,24
Sierra Leone,5,3,72,0,187,Africa,Sub-Saharan Africa,Fishes,57
Somalia,2,60,49,0,185,Africa,Sub-Saharan Africa,Fishes,31
South Africa,22,186,153,0,602,Africa,Sub-Saharan Africa,Fishes,121
South Sudan,0,1,17,0,57,Africa,Sub-Saharan Africa,Fishes,0
Sudan,0,50,17,0,147,Africa,Sub-Saharan Africa,Fishes,32
"Tanzania, United Republic of",11,136,644,0,1155,Africa,Sub-Saharan Africa,Fishes,179
Togo,2,1,13,0,88,Africa,Sub-Saharan Africa,Fishes,38
Uganda,14,16,64,0,221,Africa,Sub-Saharan Africa,Fishes,60
Zambia,12,2,23,0,92,Africa,Sub-Saharan Africa,Fishes,20
Zimbabwe,0,7,52,0,102,Africa,Sub-Saharan Africa,Fishes,3
Antarctica,0,0,0,0,6,Antarctica,Antarctica,Fishes,0
Bouvet Island,0,0,0,0,3,Antarctica,Antarctica,Fishes,1
French Southern Territories,0,0,1,0,28,Antarctica,Antarctica,Fishes,7
Heard Island and McDonald Islands,0,0,0,0,12,Antarctica,Antarctica,Fishes,1
South Georgia and the South Sandwich Islands,0,0,0,0,9,Antarctica,Antarctica,Fishes,0
China,15,61,593,1,1105,Asia,East Asia,Fishes,136
Hong Kong,1,7,10,0,68,Asia,East Asia,Fishes,15
Japan,33,142,50,4,429,Asia,East Asia,Fishes,77
"Korea, Democratic People's Republic of",0,3,17,0,82,Asia,East Asia,Fishes,20
"Korea, Republic of",0,8,31,1,119,Asia,East Asia,Fishes,28
Macao,0,1,0,0,15,Asia,East Asia,Fishes,9
Mongolia,0,3,0,0,40,Asia,East Asia,Fishes,2
"Taiwan, Province of China",1,127,85,1,342,Asia,East Asia,Fishes,73
Belarus,3,7,1,0,26,Asia,North Asia,Fishes,2
Moldova,2,4,2,0,33,Asia,North Asia,Fishes,8
Russian Federation,8,31,56,5,239,Asia,North Asia,Fishes,39
Ukraine,9,29,22,1,114,Asia,North Asia,Fishes,24
Bangladesh,0,7,23,0,156,Asia,South & Southeast Asia,Fishes,29
Bhutan,0,1,43,0,97,Asia,South & Southeast Asia,Fishes,3
British Indian Ocean Territory,0,69,1,0,86,Asia,South & Southeast Asia,Fishes,13
Brunei Darussalam,0,9,127,0,224,Asia,South & Southeast Asia,Fishes,14
Cambodia,1,78,37,0,264,Asia,South & Southeast Asia,Fishes,48
Disputed Territory,0,1,0,0,8,Asia,South & Southeast Asia,Fishes,7
India,7,128,396,0,1073,Asia,South & Southeast Asia,Fishes,227
Indonesia,6,285,458,0,1332,Asia,South & Southeast Asia,Fishes,166
Lao People's Democratic Republic,16,5,56,0,239,Asia,South & Southeast Asia,Fishes,55
Malaysia,37,228,727,1,1301,Asia,South & Southeast Asia,Fishes,87
Maldives,0,46,0,0,75,Asia,South & Southeast Asia,Fishes,24
Myanmar,3,74,61,0,331,Asia,South & Southeast Asia,Fishes,53
Nepal,1,2,18,0,107,Asia,South & Southeast Asia,Fishes,7
Philippines,3,235,254,0,780,Asia,South & Southeast Asia,Fishes,91
Singapore,0,173,62,0,306,Asia,South & Southeast Asia,Fishes,29
Sri Lanka,0,130,297,0,598,Asia,South & Southeast Asia,Fishes,57
Thailand,15,196,159,0,641,Asia,South & Southeast Asia,Fishes,106
Timor-Leste,0,1,2,0,29,Asia,South & Southeast Asia,Fishes,13
Viet Nam,30,122,231,0,692,Asia,South & Southeast Asia,Fishes,83
Afghanistan,0,2,5,0,40,Asia,West & Central Asia,Fishes,4
Armenia,2,7,74,0,116,Asia,West & Central Asia,Fishes,3
Azerbaijan,2,5,44,0,100,Asia,West & Central Asia,Fishes,14
Bahrain,0,13,0,0,41,Asia,West & Central Asia,Fishes,14
Cyprus,5,10,22,0,79,Asia,West & Central Asia,Fishes,24
Georgia,4,11,63,1,121,Asia,West & Central Asia,Fishes,11
"Iran, Islamic Republic of",2,22,7,0,143,Asia,West & Central Asia,Fishes,47
Iraq,1,16,2,0,72,Asia,West & Central Asia,Fishes,19
Israel,11,63,23,0,193,Asia,West & Central Asia,Fishes,50
Jordan,6,55,8,0,122,Asia,West & Central Asia,Fishes,20
Kazakhstan,2,5,14,0,80,Asia,West & Central Asia,Fishes,14
Kuwait,0,13,0,0,53,Asia,West & Central Asia,Fishes,18
Kyrgyzstan,0,4,13,0,43,Asia,West & Central Asia,Fishes,3
Lebanon,9,9,24,0,99,Asia,West & Central Asia,Fishes,28
Oman,2,29,6,0,104,Asia,West & Central Asia,Fishes,36
Pakistan,0,18,12,0,146,Asia,West & Central Asia,Fishes,46
"Palestine, State of",2,2,6,0,36,Asia,West & Central Asia,Fishes,2
Qatar,0,13,0,0,46,Asia,West & Central Asia,Fishes,17
Saudi Arabia,1,58,4,0,136,Asia,West & Central Asia,Fishes,41
Syrian Arab Republic,9,13,26,0,139,Asia,West & Central Asia,Fishes,51
Tajikistan,0,3,12,0,47,Asia,West & Central Asia,Fishes,5
Turkey,45,40,113,2,401,Asia,West & Central Asia,Fishes,131
Turkmenistan,1,6,4,0,59,Asia,West & Central Asia,Fishes,13
United Arab Emirates,0,15,0,0,60,Asia,West & Central Asia,Fishes,20
Uzbekistan,1,2,16,0,62,Asia,West & Central Asia,Fishes,7
Yemen,2,66,163,0,306,Asia,West & Central Asia,Fishes,40
Albania,50,21,4,0,137,Europe,Europe,Fishes,44
Andorra,3,5,0,0,14,Europe,Europe,Fishes,0
Austria,43,31,17,8,127,Europe,Europe,Fishes,11
Belgium,6,9,0,1,39,Europe,Europe,Fishes,13
Bosnia and Herzegovina,18,24,3,0,96,Europe,Europe,Fishes,36
Bulgaria,32,25,9,0,115,Europe,Europe,Fishes,22
Croatia,49,30,8,1,181,Europe,Europe,Fishes,64
Czechia,6,23,26,5,74,Europe,Europe,Fishes,2
Denmark,5,11,1,3,49,Europe,Europe,Fishes,18
Estonia,4,3,0,2,24,Europe,Europe,Fishes,5
Faroe Islands,0,0,0,1,24,Europe,Europe,Fishes,13
Finland,3,7,2,6,37,Europe,Europe,Fishes,6
France,92,68,47,8,300,Europe,Europe,Fishes,53
Germany,31,30,36,7,144,Europe,Europe,Fishes,24
Gibraltar,3,2,1,0,33,Europe,Europe,Fishes,18
Greece,178,130,72,1,503,Europe,Europe,Fishes,80
Greenland,0,0,1,0,25,Europe,Europe,Fishes,9
Guernsey,0,0,0,0,6,Europe,Europe,Fishes,6
Holy See (Vatican City State),0,0,0,0,1,Europe,Europe,Fishes,0
Hungary,8,26,43,2,105,Europe,Europe,Fishes,9
Iceland,0,0,0,0,29,Europe,Europe,Fishes,16
Ireland,4,2,3,2,54,Europe,Europe,Fishes,28
Isle of Man,0,0,0,0,2,Europe,Europe,Fishes,2
Italy,83,139,102,9,423,Europe,Europe,Fishes,52
Jersey,1,0,0,0,7,Europe,Europe,Fishes,6
Latvia,4,8,0,1,31,Europe,Europe,Fishes,6
Liechtenstein,2,4,0,0,8,Europe,Europe,Fishes,0
Lithuania,3,5,1,1,28,Europe,Europe,Fishes,6
Luxembourg,5,2,0,0,11,Europe,Europe,Fishes,1
"Macedonia, the former Yugoslav Republic of",71,15,4,1,125,Europe,Europe,Fishes,13
Malta,3,2,4,0,39,Europe,Europe,Fishes,22
Monaco,1,2,1,0,22,Europe,Europe,Fishes,15
Montenegro,22,20,3,0,101,Europe,Europe,Fishes,32
Netherlands,5,6,1,3,43,Europe,Europe,Fishes,15
Norway,3,7,10,11,73,Europe,Europe,Fishes,23
Poland,7,21,11,3,65,Europe,Europe,Fishes,8
Portugal,86,118,101,4,410,Europe,Europe,Fishes,67
Romania,25,43,7,0,125,Europe,Europe,Fishes,22
San Marino,1,0,0,0,1,Europe,Europe,Fishes,0
Serbia,8,27,6,1,77,Europe,Europe,Fishes,15
Slovakia,7,25,25,3,81,Europe,Europe,Fishes,5
Slovenia,32,51,7,4,147,Europe,Europe,Fishes,33
Spain,164,124,247,6,686,Europe,Europe,Fishes,83
Svalbard and Jan Mayen,0,0,0,0,10,Europe,Europe,Fishes,2
Sweden,4,12,5,10,58,Europe,Europe,Fishes,15
Switzerland,10,37,4,6,79,Europe,Europe,Fishes,9
United Kingdom,7,13,42,6,133,Europe,Europe,Fishes,48
Belize,0,12,46,0,130,North America,Mesoamerica,Fishes,45
Costa Rica,1,30,143,0,349,North America,Mesoamerica,Fishes,64
El Salvador,0,10,33,0,92,North America,Mesoamerica,Fishes,17
Guatemala,2,11,120,0,315,North America,Mesoamerica,Fishes,41
Honduras,0,21,134,0,317,North America,Mesoamerica,Fishes,45
